domain,site_type
www.jusfc.gov,fed_gov_from_usa_dot_gov
www.justice.gov,fed_gov_from_usa_dot_gov
www.kennedy-center.org,fed_gov_from_usa_dot_gov
www.loc.gov,fed_gov_from_usa_dot_gov
www.lsc.gov,fed_gov_from_usa_dot_gov
www.macpac.gov,fed_gov_from_usa_dot_gov
www.marad.dot.gov,fed_gov_from_usa_dot_gov
www.martinoticias.com,fed_gov_from_usa_dot_gov
www.mbda.gov,fed_gov_from_usa_dot_gov
www.mcc.gov,fed_gov_from_usa_dot_gov
www.mda.mil,fed_gov_from_usa_dot_gov
www.medpac.gov,fed_gov_from_usa_dot_gov
www.mmc.gov,fed_gov_from_usa_dot_gov
www.moneyfactory.gov,fed_gov_from_usa_dot_gov
www.msha.gov,fed_gov_from_usa_dot_gov
www.mspb.gov,fed_gov_from_usa_dot_gov
www.mvd.usace.army.mil,fed_gov_from_usa_dot_gov
www.nal.usda.gov,fed_gov_from_usa_dot_gov
www.nasa.gov,fed_gov_from_usa_dot_gov
www.nass.usda.gov,fed_gov_from_usa_dot_gov
www.nationalguard.mil,fed_gov_from_usa_dot_gov
www.nationalparks.org,fed_gov_from_usa_dot_gov
www.nationalservice.gov,fed_gov_from_usa_dot_gov
www.navy.mil,fed_gov_from_usa_dot_gov
www.nbrc.gov,fed_gov_from_usa_dot_gov
www.ncd.gov,fed_gov_from_usa_dot_gov
www.ncpc.gov,fed_gov_from_usa_dot_gov
www.ncua.gov,fed_gov_from_usa_dot_gov
www.ndu.edu,fed_gov_from_usa_dot_gov
www.neh.gov,fed_gov_from_usa_dot_gov
www.nga.gov,fed_gov_from_usa_dot_gov
www.nga.mil,fed_gov_from_usa_dot_gov
www.nhlbi.nih.gov,fed_gov_from_usa_dot_gov
www.nhtsa.gov,fed_gov_from_usa_dot_gov
www.ni-u.edu,fed_gov_from_usa_dot_gov
www.niams.nih.gov,fed_gov_from_usa_dot_gov
www.nidcd.nih.gov,fed_gov_from_usa_dot_gov
www.niddk.nih.gov,fed_gov_from_usa_dot_gov
